Wall time,Step,Value
1721281822.59072,0,23.878999710083008
1721282105.393932,1,10.402000427246094
1721282146.744997,2,11.180000305175781
1721282465.019289,3,16.743000030517578
1721282727.700205,4,21.17099952697754
1721282895.682618,5,9.893333435058594
1721283153.930426,6,21.51099967956543
1721283427.357169,7,24.253999710083008
1721283639.225462,8,28.341333389282227
1721283904.710281,9,23.86199951171875
1721284190.68081,10,19.577999114990234
1721284390.630478,11,15.678667068481445
1721284650.82247,12,25.30299949645996
1721284919.027895,13,24.774999618530273
1721285138.168023,14,24.85555648803711
1721285400.822164,15,25.530000686645508
1721285630.953297,16,18.683000564575195
1721285888.364041,17,27.55789566040039
1721286165.393332,18,27.547000885009766
1721286443.259256,19,22.113000869750977
1721286640.191454,20,25.205333709716797
1721286879.62499,21,25.166000366210938
1721287136.18812,22,22.365999221801758
1721287387.952047,23,27.36421012878418
1721287628.449132,24,24.834999084472656
1721287863.329709,25,23.29199981689453
1721288094.145237,26,18.283000946044922
1721288136.961185,27,23.486665725708008
1721288401.04058,28,20.405000686645508
1721288626.816531,29,26.04800033569336
1721288857.856948,30,25.238000869750977
1721288882.559524,31,15.819999694824219
1721289124.848214,32,22.469999313354492
1721289379.08973,33,24.132999420166016
1721289626.357791,34,25.636842727661133
1721289865.151051,35,26.39699935913086
1721290142.611669,36,25.611000061035156
1721290370.456221,37,29.39555549621582
1721290596.659992,38,17.16900062561035
1721290856.63916,39,25.176000595092773
1721291081.347004,40,23.490999221801758
1721291123.088197,41,31.40999984741211
1721291382.283676,42,28.01099967956543
1721291654.833345,43,21.93000030517578
1721291875.654152,44,22.676666259765625
1721292130.303916,45,23.639999389648438
1721292445.644331,46,24.60300064086914
1721292625.046771,47,31.479999542236328
1721292878.058077,48,23.249000549316406
1721293158.644475,49,25.801000595092773
1721293370.545038,50,29.855714797973633
1721293669.062781,51,28.09600067138672
1721293976.253838,52,24.816999435424805
1721294118.312747,53,31.167999267578125
1721294370.850672,54,28.40399932861328
1721294714.268298,55,28.072999954223633
1721294861.726429,56,10.702221870422363
1721295120.002948,57,25.788999557495117
1721295380.226167,58,21.325000762939453
1721295613.453275,59,24.157894134521484
1721295869.208081,60,22.6200008392334
1721296131.590642,61,21.079999923706055
1721296361.132049,62,23.25
1721296609.622434,63,23.066999435424805
1721296880.50091,64,25.409000396728516
1721297109.921617,65,22.61199951171875
1721297429.379845,66,29.924999237060547
1721297703.042418,67,24.885000228881836
1721297856.87611,68,30.04400062561035
1721298172.37855,69,21.007999420166016
1721298465.641591,70,25.5049991607666
1721298603.762358,71,30.190000534057617
1721298867.897315,72,28.469999313354492
1721299125.461415,73,20.9950008392334
1721299350.760327,74,23.082500457763672
1721299601.843195,75,26.87299919128418
1721299887.84069,76,27.336999893188477
1721300100.605404,77,22.729999542236328
1721300362.683022,78,27.013999938964844
1721300625.739063,79,27.336000442504883
1721300847.760157,80,30.709999084472656
1721301114.912103,81,19.510000228881836
1721301376.662724,82,28.64699935913086
1721301591.405953,83,28.792499542236328
1721301828.842295,84,28.621000289916992
1721302091.241573,85,26.73699951171875
1721302336.996508,86,27.341176986694336
1721302605.347469,87,27.006000518798828
1721302914.067737,88,25.031999588012695
1721303082.521581,89,28.69454574584961
1721303378.264712,90,26.96299934387207
1721303666.861031,91,27.809999465942383
1721303834.491988,92,24.280000686645508
1721304088.753391,93,27.625999450683594
1721304361.810256,94,22.04800033569336
1721304586.705973,95,28.73882293701172
1721304859.325744,96,27.573999404907227
1721305175.826209,97,31.468000411987305
1721305336.145029,98,23.89454460144043
1721305602.639804,99,28.31999969482422
1721305923.084651,100,30.101999282836914
1721306086.153402,101,28.329999923706055
1721306395.320954,102,30.922000885009766
1721306689.678307,103,28.19099998474121
1721306829.836668,104,26.826000213623047
1721307120.304728,105,29.35300064086914
1721307418.526867,106,28.902000427246094
1721307576.476229,107,28.227272033691406
1721307849.771432,108,28.975000381469727
1721308138.149369,109,23.465999603271484
1721308324.04103,110,28.16153907775879
1721308624.663678,111,26.020000457763672
1721308910.571266,112,28.27400016784668
1721309075.151623,113,21.730770111083984
1721309350.820269,114,29.93899917602539
1721309620.443777,115,29.18600082397461
1721309819.591608,116,26.08133316040039
1721310129.325172,117,24.34000015258789
1721310446.586005,118,30.797000885009766
1721310563.934901,119,30.332500457763672
1721310864.151079,120,26.475000381469727
1721311199.657709,121,27.76300048828125
1721311315.315203,122,24.517778396606445
1721311622.499723,123,26.729000091552734
1721311918.784999,124,27.198999404907227
1721312062.440062,125,27.171112060546875
1721312375.996149,126,21.621999740600586
1721312699.708969,127,27.33799934387207
1721312807.183033,128,28.497142791748047
1721313086.475381,129,28.916000366210938
1721313368.707249,130,28.589000701904297
1721313553.100717,131,32.00363540649414
1721313876.728734,132,31.413999557495117
1721314195.761138,133,30.367000579833984
1721314301.345903,134,20.54857063293457
1721314624.03127,135,24.020999908447266
1721315009.653103,136,23.79199981689453
1721315050.952449,137,37.040000915527344
1721315482.49484,138,33.64699935913086
1721315798.778254,139,29.556249618530273
1721316133.760935,140,30.266000747680664
1721316488.911578,141,27.05900001525879
1721316547.995529,142,36.03333282470703
1721316886.07263,143,29.760000228881836
1721317258.119132,144,29.22800064086914
1721317583.793653,145,30.576000213623047
1721317920.523815,146,32.11199951171875
1721318039.341754,147,26.502857208251953
1721318421.301593,148,32.316001892089844
1721318740.948065,149,21.573999404907227
